Date : 2022-10-19 15:19:06
Directory : /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin
Total : 1721 files,  247842 codes, 83227 comments, 47887 blanks, all 378956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      1,706 |    245,699 |     82,818 |     47,551 |    376,068 |
| XML      |          2 |        976 |          1 |          3 |        980 |
| Makefile |          1 |        588 |        322 |        126 |      1,036 |
| Python   |          5 |        430 |         86 |         93 |        609 |
| Markdown |          7 |        149 |          0 |        114 |        263 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |      1,721 |    247,842 |     83,227 |     47,887 |    378,956 |
| src                                                                                                                                                               |      1,716 |    245,222 |     78,265 |     46,750 |    370,237 |
| src/HAL                                                                                                                                                           |        130 |     10,812 |      5,143 |      2,817 |     18,772 |
| src/HAL/STM32                                                                                                                                                     |         48 |      4,193 |      1,560 |        956 |      6,709 |
| src/HAL/STM32/inc                                                                                                                                                 |          4 |         39 |         93 |         15 |        147 |
| src/HAL/STM32/tft                                                                                                                                                 |         10 |      1,264 |        278 |        293 |      1,835 |
| src/HAL/STM32F1                                                                                                                                                   |         42 |      3,798 |      1,728 |        958 |      6,484 |
| src/HAL/STM32F1/dogm                                                                                                                                              |          1 |        123 |         23 |         25 |        171 |
| src/HAL/STM32F1/inc                                                                                                                                               |          4 |         36 |         93 |         12 |        141 |
| src/HAL/STM32F1/tft                                                                                                                                               |          6 |        479 |        142 |        121 |        742 |
| src/HAL/shared                                                                                                                                                    |         38 |      2,772 |      1,811 |        892 |      5,475 |
| src/HAL/shared/backtrace                                                                                                                                          |         14 |      1,654 |        891 |        562 |      3,107 |
| src/HAL/shared/cpu_exception                                                                                                                                      |          3 |        217 |        186 |         61 |        464 |
| src/core                                                                                                                                                          |         16 |      3,012 |        800 |        565 |      4,377 |
| src/feature                                                                                                                                                       |        127 |     14,291 |      4,972 |      3,747 |     23,010 |
| src/feature/adc                                                                                                                                                   |          2 |         55 |         62 |         27 |        144 |
| src/feature/bedlevel                                                                                                                                              |         12 |      2,561 |        900 |        733 |      4,194 |
| src/feature/bedlevel/abl                                                                                                                                          |          2 |        339 |         97 |         75 |        511 |
| src/feature/bedlevel/mbl                                                                                                                                          |          2 |        157 |         57 |         44 |        258 |
| src/feature/bedlevel/ubl                                                                                                                                          |          4 |      1,811 |        611 |        541 |      2,963 |
| src/feature/dac                                                                                                                                                   |          6 |        253 |        180 |         80 |        513 |
| src/feature/digipot                                                                                                                                               |          3 |        136 |         76 |         35 |        247 |
| src/feature/leds                                                                                                                                                  |         14 |        876 |        391 |        259 |      1,526 |
| src/feature/mmu                                                                                                                                                   |          5 |        875 |        181 |        271 |      1,327 |
| src/feature/password                                                                                                                                              |          2 |         51 |         50 |         19 |        120 |
| src/gcode                                                                                                                                                         |        181 |     15,258 |      7,684 |      4,044 |     26,986 |
| src/gcode/LED_Strobing                                                                                                                                            |          1 |          6 |          1 |          7 |         14 |
| src/gcode/bedlevel                                                                                                                                                |         10 |      1,577 |        710 |        516 |      2,803 |
| src/gcode/bedlevel/abl                                                                                                                                            |          2 |        569 |        229 |        201 |        999 |
| src/gcode/bedlevel/mbl                                                                                                                                            |          2 |        169 |         80 |         41 |        290 |
| src/gcode/bedlevel/ubl                                                                                                                                            |          2 |         43 |         60 |         22 |        125 |
| src/gcode/board_identifier                                                                                                                                        |          1 |          4 |          2 |          2 |          8 |
| src/gcode/calibrate                                                                                                                                               |         13 |      2,779 |        931 |        672 |      4,382 |
| src/gcode/config                                                                                                                                                  |         16 |      1,016 |        631 |        231 |      1,878 |
| src/gcode/control                                                                                                                                                 |         22 |        892 |        712 |        237 |      1,841 |
| src/gcode/eeprom                                                                                                                                                  |          1 |         68 |         42 |         15 |        125 |
| src/gcode/feature                                                                                                                                                 |         40 |      3,383 |      1,542 |        745 |      5,670 |
| src/gcode/feature/L6470                                                                                                                                           |          3 |        812 |        224 |        148 |      1,184 |
| src/gcode/feature/adc                                                                                                                                             |          1 |         26 |         32 |         11 |         69 |
| src/gcode/feature/advance                                                                                                                                         |          1 |        100 |         32 |         28 |        160 |
| src/gcode/feature/baricuda                                                                                                                                        |          1 |         13 |         33 |         13 |         59 |
| src/gcode/feature/camera                                                                                                                                          |          1 |        112 |         47 |         37 |        196 |
| src/gcode/feature/cancel                                                                                                                                          |          1 |         16 |         31 |         11 |         58 |
| src/gcode/feature/caselight                                                                                                                                       |          1 |         33 |         34 |          7 |         74 |
| src/gcode/feature/clean                                                                                                                                           |          1 |         36 |         32 |         16 |         84 |
| src/gcode/feature/controllerfan                                                                                                                                   |          1 |         30 |         39 |         13 |         82 |
| src/gcode/feature/digipot                                                                                                                                         |          1 |        108 |         36 |         30 |        174 |
| src/gcode/feature/filwidth                                                                                                                                        |          1 |         27 |         35 |         10 |         72 |
| src/gcode/feature/fwretract                                                                                                                                       |          2 |         30 |         71 |         20 |        121 |
| src/gcode/feature/i2c                                                                                                                                             |          1 |         20 |         45 |         13 |         78 |
| src/gcode/feature/leds                                                                                                                                            |          2 |         82 |         85 |         19 |        186 |
| src/gcode/feature/macro                                                                                                                                           |          1 |         27 |         30 |          9 |         66 |
| src/gcode/feature/mixing                                                                                                                                          |          2 |         90 |         88 |         28 |        206 |
| src/gcode/feature/network                                                                                                                                         |          1 |         79 |         38 |         16 |        133 |
| src/gcode/feature/password                                                                                                                                        |          1 |         40 |         30 |         14 |         84 |
| src/gcode/feature/pause                                                                                                                                           |          7 |        411 |        269 |        126 |        806 |
| src/gcode/feature/power_monitor                                                                                                                                   |          1 |         34 |         29 |          6 |         69 |
| src/gcode/feature/powerloss                                                                                                                                       |          2 |         88 |         54 |         22 |        164 |
| src/gcode/feature/prusa_MMU2                                                                                                                                      |          1 |         13 |         30 |          7 |         50 |
| src/gcode/feature/runout                                                                                                                                          |          1 |         45 |         30 |          7 |         82 |
| src/gcode/feature/trinamic                                                                                                                                        |          5 |      1,111 |        168 |        134 |      1,413 |
| src/gcode/geometry                                                                                                                                                |          4 |        201 |        149 |         41 |        391 |
| src/gcode/host                                                                                                                                                    |         10 |        478 |        329 |        141 |        948 |
| src/gcode/lcd                                                                                                                                                     |         10 |        234 |        254 |         94 |        582 |
| src/gcode/motion                                                                                                                                                  |          7 |        522 |        280 |        141 |        943 |
| src/gcode/probe                                                                                                                                                   |          7 |        308 |        214 |         95 |        617 |
| src/gcode/scara                                                                                                                                                   |          1 |         35 |         36 |         11 |         82 |
| src/gcode/sd                                                                                                                                                      |         15 |        319 |        423 |        162 |        904 |
| src/gcode/stats                                                                                                                                                   |          2 |         54 |         57 |         17 |        128 |
| src/gcode/temp                                                                                                                                                    |         11 |        354 |        388 |        139 |        881 |
| src/gcode/units                                                                                                                                                   |          3 |         27 |         78 |         21 |        126 |
| src/inc                                                                                                                                                           |          8 |      8,968 |      1,119 |        810 |     10,897 |
