Date : 2022-10-19 15:26:23
Directory : /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode
Total : 181 files,  15258 codes, 7684 comments, 4044 blanks, all 26986 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        181 |     15,258 |      7,684 |      4,044 |     26,986 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        181 |     15,258 |      7,684 |      4,044 |     26,986 |
| LED_Strobing                                                                                     |          1 |          6 |          1 |          7 |         14 |
| bedlevel                                                                                         |         10 |      1,577 |        710 |        516 |      2,803 |
| bedlevel/abl                                                                                     |          2 |        569 |        229 |        201 |        999 |
| bedlevel/mbl                                                                                     |          2 |        169 |         80 |         41 |        290 |
| bedlevel/ubl                                                                                     |          2 |         43 |         60 |         22 |        125 |
| board_identifier                                                                                 |          1 |          4 |          2 |          2 |          8 |
| calibrate                                                                                        |         13 |      2,779 |        931 |        672 |      4,382 |
| config                                                                                           |         16 |      1,016 |        631 |        231 |      1,878 |
| control                                                                                          |         22 |        892 |        712 |        237 |      1,841 |
| eeprom                                                                                           |          1 |         68 |         42 |         15 |        125 |
| feature                                                                                          |         40 |      3,383 |      1,542 |        745 |      5,670 |
| feature/L6470                                                                                    |          3 |        812 |        224 |        148 |      1,184 |
| feature/adc                                                                                      |          1 |         26 |         32 |         11 |         69 |
| feature/advance                                                                                  |          1 |        100 |         32 |         28 |        160 |
| feature/baricuda                                                                                 |          1 |         13 |         33 |         13 |         59 |
| feature/camera                                                                                   |          1 |        112 |         47 |         37 |        196 |
| feature/cancel                                                                                   |          1 |         16 |         31 |         11 |         58 |
| feature/caselight                                                                                |          1 |         33 |         34 |          7 |         74 |
| feature/clean                                                                                    |          1 |         36 |         32 |         16 |         84 |
| feature/controllerfan                                                                            |          1 |         30 |         39 |         13 |         82 |
| feature/digipot                                                                                  |          1 |        108 |         36 |         30 |        174 |
| feature/filwidth                                                                                 |          1 |         27 |         35 |         10 |         72 |
| feature/fwretract                                                                                |          2 |         30 |         71 |         20 |        121 |
| feature/i2c                                                                                      |          1 |         20 |         45 |         13 |         78 |
| feature/leds                                                                                     |          2 |         82 |         85 |         19 |        186 |
| feature/macro                                                                                    |          1 |         27 |         30 |          9 |         66 |
| feature/mixing                                                                                   |          2 |         90 |         88 |         28 |        206 |
| feature/network                                                                                  |          1 |         79 |         38 |         16 |        133 |
| feature/password                                                                                 |          1 |         40 |         30 |         14 |         84 |
| feature/pause                                                                                    |          7 |        411 |        269 |        126 |        806 |
| feature/power_monitor                                                                            |          1 |         34 |         29 |          6 |         69 |
| feature/powerloss                                                                                |          2 |         88 |         54 |         22 |        164 |
| feature/prusa_MMU2                                                                               |          1 |         13 |         30 |          7 |         50 |
| feature/runout                                                                                   |          1 |         45 |         30 |          7 |         82 |
| feature/trinamic                                                                                 |          5 |      1,111 |        168 |        134 |      1,413 |
| geometry                                                                                         |          4 |        201 |        149 |         41 |        391 |
| host                                                                                             |         10 |        478 |        329 |        141 |        948 |
| lcd                                                                                              |         10 |        234 |        254 |         94 |        582 |
| motion                                                                                           |          7 |        522 |        280 |        141 |        943 |
| probe                                                                                            |          7 |        308 |        214 |         95 |        617 |
| scara                                                                                            |          1 |         35 |         36 |         11 |         82 |
| sd                                                                                               |         15 |        319 |        423 |        162 |        904 |
| stats                                                                                            |          2 |         54 |         57 |         17 |        128 |
| temp                                                                                             |         11 |        354 |        388 |        139 |        881 |
| units                                                                                            |          3 |         27 |         78 |         21 |        126 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                         | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/LED_Strobing/U1.cpp             | C++      |          6 |          1 |          7 |         14 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/G26.cpp                | C++      |        512 |        209 |        156 |        877 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/G35.cpp                | C++      |         89 |         51 |         36 |        176 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/G42.cpp                | C++      |         36 |         26 |         12 |         74 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/M420.cpp               | C++      |        159 |         55 |         48 |        262 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/abl/G29.cpp            | C++      |        538 |        194 |        192 |        924 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/abl/M421.cpp           | C++      |         31 |         35 |          9 |         75 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/mbl/G29.cpp            | C++      |        150 |         47 |         33 |        230 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/mbl/M421.cpp           | C++      |         19 |         33 |          8 |         60 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/ubl/G29.cpp            | C++      |         13 |         24 |         11 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/bedlevel/ubl/M421.cpp           | C++      |         30 |         36 |         11 |         77 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/board_identifier/U2.cpp         | C++      |          4 |          2 |          2 |          8 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G28.cpp               | C++      |        388 |         84 |        118 |        590 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G33.cpp               | C++      |        510 |         98 |         91 |        699 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G34.cpp               | C++      |        108 |         28 |         25 |        161 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G34_M422.cpp          | C++      |        357 |        117 |         96 |        570 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G425.cpp              | C++      |        523 |        144 |         98 |        765 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/G76_M871.cpp          | C++      |        179 |        108 |         53 |        340 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M100.cpp              | C++      |        214 |        102 |         58 |        374 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M12.cpp               | C++      |         11 |         21 |          9 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M425.cpp              | C++      |         76 |         35 |         15 |        126 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M48.cpp               | C++      |        165 |         67 |         54 |        286 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M665.cpp              | C++      |        101 |         63 |         25 |        189 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M666.cpp              | C++      |         85 |         34 |         15 |        134 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/calibrate/M852.cpp              | C++      |         62 |         30 |         15 |        107 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M200-M205.cpp            | C++      |        229 |         75 |         27 |        331 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M217.cpp                 | C++      |        117 |         52 |         29 |        198 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M218.cpp                 | C++      |         32 |         29 |         12 |         73 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M220.cpp                 | C++      |         13 |         33 |          6 |         52 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M221.cpp                 | C++      |         17 |         24 |          7 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M281.cpp                 | C++      |         42 |         28 |          9 |         79 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M301.cpp                 | C++      |         55 |         41 |         14 |        110 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M302.cpp                 | C++      |         24 |         37 |          8 |         69 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/gcode/config/M304.cpp                 | C++      |         19 |         28 |          7 |         54 |
